 |  |  |  |  |  |  | 5-илова
Нобанк кредит ташкилотлари томонидан ажратилган кредитларнинг муддати бўйича гуруҳланиши |  |  |  |  |  |  | 
ТОШКЕНТ ШАХРИ |  |  |  |  |  |  | 
№ | Кредит тури | 2025 йилнинг мос даври |  |  | Ҳисобот даври |  | 
 |  | сони | суммаси (млрд сўм) | ўртача тортилган фоиз | сони | суммаси (млрд сўм) | ўртача тортилган фоиз
Жами |  | 961 | 49 | 58,09 | 1 326 | 96 | 55,01
Микрокредит |  |  |  |  |  |  | 
1 | 6 ойгача | 1 | 0,16 | 60,00 | 0 | 0,00 | 0,00
2 | 6-12 ой | 4 | 0,81 | 57,35 | 2 | 0,35 | 55,00
3 | 12-24 ой | 13 | 2,10 | 58,56 | 15 | 2,79 | 55,00
4 | 24-36 ой | 30 | 4,86 | 57,36 | 86 | 13,94 | 55,00
5 | 36 ойдан юқори | 12 | 2,16 | 55,00 | 108 | 16,82 | 55,00
Жами |  | 60 | 10 | 57,14 | 211 | 34 | 55,00
Микроқарз |  |  |  |  |  |  | 
1 | 6 ойгача | 17 | 0,54 | 59,01 | 6 | 0,25 | 55,00
2 | 6-12 ой | 177 | 5,13 | 59,93 | 99 | 3,03 | 55,00
3 | 12-24 ой | 284 | 12,02 | 58,33 | 163 | 6,92 | 55,05
4 | 24-36 ой | 339 | 17,02 | 58,64 | 421 | 24,88 | 55,00
5 | 36 ойдан юқори | 84 | 4,15 | 55,00 | 426 | 26,65 | 55,02
Жами |  | 901 | 39 |  | 1 115 | 62 | 
Микролизинг |  |  |  |  |  |  | 
1 | 6 ойгача | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
2 | 6-12 ой | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
3 | 12-24 ой | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
4 | 24-36 ой | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
5 | 36 ойдан юқори | 0 | 0,00 | 0,00 | 0 | 0,00 | 0,00
Жами |  | 0 | 0 | 0,00 | 0 | 0 | 0,00

