 |  |  |  |  | Микромолия ташкилотлари ва ломбардлар фаолиятини мувофиқлаштириш ва тартибга солиш тўғрисидаги низомга 3-ИЛОВА |  |  |  | 
"CLEVER MIKROMOLIYA TASHKILOTI" MCHJнинг |  |  |  |  |  |  |  |  | Ўзгартириш киритилмасин!!!
(ташкилотнинг номи) |  |  |  |  |  |  |  |  | 
2026 йил "8" июн ҳолатига |  |  |  |  |  |  |  |  | 
бухгалтерия баланси |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  | сўмда |  | 
Ҳисобварақ рақами | Ҳисобварақ номи | Ҳисобот санаси бошига қолдиқ |  | Дебет | Кредит | Ҳисобот санаси охирига қолдиқ |  |  | 
 |  | Дебет | Кредит |  |  | Дебет | Кредит |  | 
11103 | Муддати ўтган сотиб олинган дебиторлик қарзлари - Факторинг | 0 | 0 | 0 | 0 | 0 | 0 |  | 
11105 | Суд жараёнидаги сотиб олинган дебиторлик қарзлари - Факторинг | 0 | 0 | 0 | 0 | 0 | 0 |  | 
11195 | Сотиб олинган дебиторлик қарзлари - Факторинг бўйича дисконт (контр-актив) | 0 | 0 | 0 | 0 | 0 | 0 |  | 
11199 | Сотиб олинган дебиторлик қарзлари - Факторинг бўйича кўрилиши мумкин бўлган зарарларни қоплаш захираси (контр-актив) | 0 | 0 | 0 | 0 | 0 | 0 |  | 
11800 | РЕПО БИТИМЛАРИ БЎЙИЧА СОТИБ ОЛИНГАН ҚИММАТЛИ ҚОҒОЗЛАР | 0 | 0 | 0 | 0 | 0 | 0 |  | 
11801 | РЕПО битимлари бўйича ЎзРМБдан сотиб олинган қимматли қоғозлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
11803 | РЕПО битимлари бўйича бошқа банклардан сотиб олинган қимматли қоғозлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
11805 | РЕПО битимлари бўйича ҳукуматдан сотиб олинган қимматли қоғозлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
11897 | РЕПО битимлари бўйича бошқа қарздорлардан сотиб олинган қимматли қоғозлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
11899 | Кўрилиши мумкин бўлган зарарларни қоплаш захираси - РЕПО битимлари бўйича сотиб олинган қимматли қоғозлар (контр-актив) | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12400 | ЖИСМОНИЙ ШАХСЛАРГА БЕРИЛГАН ҚИСҚА МУДДАТЛИ КРЕДИТЛАР (МИКРОҚАРЗЛАР) | ########### | 103 693 271 | ########### | 8 133 609 169 | ########### | 103 693 271 |  | 
12401 | Жисмоний шахсларга берилган қисқа муддатли кредитлар (микроқарзлар) | 3 453 958 224 | 0 | 287 700 449 | 838 537 123 | 2 903 121 550 | 0 |  | 
12405 | Жисмоний шахсларга берилган муддати ўтган кредитлар (микроқарзлар) | 6 857 562 834 | 0 | ########### | 7 295 072 046 | ########### | 0 |  | 
12409 | Жисмоний шахсларга берилган шартлари қайта кўриб чиқилган қисқа муддатли кредитлар (микроқарзлар) | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12411 | Ўзини ўзи банд қилган шахсларга берилган қисқа муддатли кредитлар (микроқарзлар) | 246 919 454 | 0 | 0 | 0 | 246 919 454 | 0 |  | 
12499 | Кўрилиши мумкин бўлган зарарларни қоплаш захираси - Жисмоний шахсларга берилган қисқа муддатли кредитлар (микроқарзлар) (контр-актив) | 0 | 103 693 271 | 0 | 0 | 0 | 103 693 271 |  | 
12500 | ЯККА ТАРТИБДАГИ ТАДБИРКОРЛАРГА БЕРИЛГАН ҚИСҚА МУДДАТЛИ МИКРОКРЕДИТЛАР | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12501 | Якка тартибдаги тадбиркорларга берилган қисқа муддатли микрокредитлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12505 | Якка тартибдаги тадбиркорларга берилган муддати ўтган микрокредитлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12509 | Якка тартибдаги тадбиркорларга берилган шартлари қайта кўриб чиқилган қисқа муддатли микрокредитлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12599 | Кўрилиши мумкин бўлган зарарларни қоплаш захираси - Якка тартибдаги тадбиркорларга берилган қисқа муддатли микрокредитлар (контр-актив) | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12700 | ЮРИДИК ШАХСЛАРГА БЕРИЛГАН ҚИСҚА МУДДАТЛИ МИКРОКРЕДИТЛАР | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12701 | Юридик шахсларга берилган қисқа муддатли микрокредитлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12705 | Юридик шахсларга берилган муддати ўтган микрокредитлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12709 | Юридик шахсларга берилган шартлари қайта кўриб чиқилган қисқа муддатли микрокредитлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
12799 | Кўрилиши мумкин бўлган зарарларни қоплаш захираси - Юридик шахсларга берилган қисқа муддатли микрокредитлар (контр-актив) | 0 | 0 | 0 | 0 | 0 | 0 |  | 
13200 | БАНК БЎЛМАГАН МОЛИЯВИЙ МУАССАСАЛАРГА БЕРИЛГАН ҚИСҚА МУДДАТЛИ КРЕДИТЛАР | 0 | 0 | 0 | 0 | 0 | 0 |  | 
13201 | Банк бўлмаган молиявий муассасаларга берилган қисқа муддатли кредитлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
13205 | Банк бўлмаган молиявий муассасаларга берилган муддати ўтган кредитлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
13209 | Банк бўлмаган молиявий муассасаларга берилган шартлари қайта кўриб чиқилган қисқа муддатли кредитлар | 0 | 0 | 0 | 0 | 0 | 0 |  | 
13299 | Кўрилиши мумкин бўлган зарарларни қоплаш захираси - Банк бўлмаган молиявий муассасаларга берилган қисқа муддатли кредитлар (контр-актив) | 0 | 0 | 0 | 0 | 0 | 0 |  | 
14800 | ЖИСМОНИЙ ШАХСЛАРГА БЕРИЛГАН УЗОҚ МУДДАТЛИ КРЕДИТЛАР (МИКРОҚАРЗЛАР) | ########### | 960 894 255 | ########### | ########### | ########### | 841 697 899 |  | 
14801 | Жисмоний шахсларга берилган узоқ муддатли кредитлар (микроқарзлар) | ########### | 0 | 8 838 441 508 | ########### | ########### | 0 |  | 
14809 | Жисмоний шахсларга берилган шартлари қайта кўриб чиқилган узоқ муддатли кредитлар (микроқарзлар) | 0 | 0 | 0 | 0 | 0 | 0 |  | 
14811 | Ўзини ўзи банд қилган шахсларга берилган узоқ муддатли кредитлар (микроқарзлар) | ########### | 0 | 5 258 244 655 | 4 975 124 137 | ########### | 0 |  | 
