 |  |  |  |  |  |  |  | Микромолия ташкилотлари ва ломбардлар фаолиятини мувофиқлаштириш ва тартибга солиш тўғрисидаги низомга 10-ИЛОВА |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  | Ўзгартириш киритилмасин!!! |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
"CLEVER MIKROMOLIYA TASHKILOTI" MCHJнинг |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
(ташкилот номи) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
томонидан жалб этилган маблағлари тўғрисида маълумот |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
2026 йил "8" июн ҳолатига |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
№ | Баланс ҳисобварағи | Кредиторнинг тўлиқ номи | Кредиторнинг СТИРи/ЖШШИР (юридик шахс учун – СТИР, ЯТТ ва жисмоний шахс учун – ЖШШИР) | Жалб этилган маблағ миқдори (минг сўмда) | Жалб этилган маблағ қолдиғи (минг сўмда) | Ҳисобланган фоизлар (минг сўмда) | Йиллик фоиз ставкаси | Маблағ жалб этилган сана | Маблағни қайтариш санаси | Ижро этиш муддати 30 кунгача бўлган мажбуриятлар (минг сўмда) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
15 | 22006 | АО "ANOR BANK" | 207324986 | 5 000 000 | 4 848 000 | 15 939 | 30 | 18.12.2025 | 18.12.2028 | 177 539 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
16 | 21606 | АО "ANOR BANK" | 207324986 | 7 600 000 | 4 433 333 | 14 575 | 30 | 08.01.2026 | 05.01.2027 | 647 909 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
17 | 22006 | АО "ANOR BANK" | 207324986 | 5 000 000 | 5 000 000 | 16 438 | 30 | 30.01.2026 | 29.11.2030 | 110 778 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
18 | 22006 | АО "ANOR BANK" | 207324986 | 5 000 000 | 4 999 000 | 16 435 | 30 | 04.03.2026 | 05.03.2029 | 167 920 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
19 | 22006 | АО "ANOR BANK" | 207324986 | 5 000 000 | 5 000 000 | 16 438 | 30 | 12.03.2026 | 11.03.2029 | 167 954 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
20 | 22006 | АО "ANOR BANK" | 207324986 | 5 000 000 | 4 992 000 | 16 432 | 30 | 02.04.2026 | 01.04.2031 | 102 501 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
21 | 22006 | АО "ANOR BANK" | 207324986 | 1 095 228 | 1 095 228 | 9 070 | 14 | 22.04.2026 | 21.04.2031 | 27 954 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
22 | 22006 | АО "ANOR BANK" | 207324986 | 3 904 772 | 3 832 392 | 18 191 | 14 | 23.04.2026 | 22.04.2031 | 84 267 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
23 | 22006 | АО "ANOR BANK" | 207324986 | 5 626 296 | 5 592 585 | 11 243 | 14 | 30.04.2026 | 29.04.2031 | 107 667 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
24 | 22006 | АО "ANOR BANK" | 207324986 | 10 408 648 | 4 404 457 | 10 979 | 14 | 29.04.2026 | 28.04.2031 | 86 918 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
25 | 22006 | АО "ANOR BANK" | 207324986 | 10 408 648 | 9 907 257 | 15 200 | 14 | 29.04.2026 | 28.04.2031 | 186 015 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
26 | 22006 | АО "ANOR BANK" | 207324986 | 10 000 000 | 3 353 284 | 36 896 | 140 | 04.06.2026 | 06.06.2031 | 92 784 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 

